sae_type,gamma_reg,kval_topk
relu,1e-06,0
relu,5e-06,0
relu,1e-05,0
relu,5e-05,0
relu,0.0001,0
relu,0.0005,0
relu,0.001,0
relu,0.005,0
relu,0.01,0
relu,0.05,0
relu,0.1,0
relu,0.5,0
relu,1.0,0
jumprelu,1e-06,0
jumprelu,5e-06,0
jumprelu,1e-05,0
jumprelu,5e-05,0
jumprelu,0.0001,0
jumprelu,0.0005,0
jumprelu,0.001,0
jumprelu,0.005,0
jumprelu,0.01,0
jumprelu,0.05,0
jumprelu,0.1,0
jumprelu,0.5,0
jumprelu,1.0,0
topk_relu,1.0,4
topk_relu,1.0,8
topk_relu,1.0,16
topk_relu,1.0,32
topk_relu,1.0,64
sparsemax_dist,1e-06,0
sparsemax_dist,5e-06,0
sparsemax_dist,1e-05,0
sparsemax_dist,5e-05,0
sparsemax_dist,0.0001,0
sparsemax_dist,0.0005,0
sparsemax_dist,0.001,0
sparsemax_dist,0.005,0
sparsemax_dist,0.01,0
sparsemax_dist,0.05,0
sparsemax_dist,0.1,0
sparsemax_dist,0.5,0
sparsemax_dist,1.0,0